,時限,教室,回生
807,木3,共西31,全回生
808,木3,情報メ地下講義室,全回生
809,木3,共北32,全回生
810,木3,共東31,全回生
811,木3,共北31,全回生
812,木3,4共31,全回生
813,木3,教育院棟講義室31,全回生
814,木3,4共30,全回生
815,木3,共東12,全回生
816,木3,人環437,全回生
817,木3,1共21,主として２回生
818,木3,共南01,全回生
819,木3,共北28,全回生
820,木3,4共11,全回生
821,木3,4共21,全回生
822,木3,共北3D,全回生
823,木3,1共26,主として２回生
824,木3,1共32,２回生以上
825,木3,共北24(CALL),２回生以上
826,木3,共西23,２回生以上
827,木3,教育院棟講義室32,主として２回生
828,木3,共東11,主として２回生
829,木3・木4,物理学実験室(2共),主として１回生
830,木3,共東42,主として１・２回生
831,木3,共北26,主として１回生
832,木3,共北34,主として１回生
833,木3,共北25,主として１回生
834,木3,共西22,主として１・２回生
835,木3・木4,生物実習室１(2共),主として１・２回生
836,木3,総合研究4号館2階共通4講義室,主として２回生
837,木3,1共31,全回生
838,木3,4共40,全回生
839,木3,共北23(CALL),１回生
840,木3,共東22(CALL),１回生
841,木3,共西42,１回生
842,木3,共北3B,１回生
843,木3,1共22,１回生
844,木3,教育院棟演習室24,１回生
845,木3,共北35,１回生
846,木3,共北33,１回生
847,木3,4共12,１回生
848,木3,教育院棟演習室22,１回生
849,木3,共東32,１回生
850,木3,共北12,１回生
851,木3,教育院棟演習室21,１回生
852,木3,1共23,１回生
853,木3,4共14,１回生
854,木3,教育院棟演習室23,１回生
855,木3,共西11,１回生
856,木3,総人1305(CALL),全回生
857,木3,共西21,全回生
858,木3,共西02,全回生
859,木3,共西01,全回生
860,木3,共北11,全回生
861,木3,共北36,全回生
862,木3,4共10,全回生
863,木3,共西03,全回生
864,木3,情報メ302(CALL),全回生
865,木3,4共32,全回生
866,木3,1共03,全回生
867,木3,4共22,全回生
868,木3,共西32,全回生
869,木3,1共33,２回生以上
870,木3,1共01,２回生以上
871,木3,共西12,２回生以上
872,木3,4共23,２回生以上
873,木3,共北3A,２回生以上
874,木3,吉田国際交流会館南講義室6,全回生
875,木3,吉田国際交流会館南講義室1,全回生
876,木3,教育推進・学生支援部棟多目的ホール,大学院生
877,木3,共北21(CALL),２回生以上
878,木3,理学研究科2号館第3講義室,２回生以上
879,木3,共北38,２回生以上
880,木4,共西21,全回生
881,木4,共北3D,全回生
882,木4,共北3C,主として１回生
883,木4,1共32,主として１・２回生
884,木4,1共31,主として１・２回生
885,木4,1共26,主として２回生
886,木4,共西22,主として１・２回生
887,木4,4共11,主として１・２回生
888,木4,4共40,全回生
889,木4,4共31,主として１・２回生
890,木4,総人1305(CALL),全回生
891,木4,1共01,全回生
892,木4,共西11,全回生
893,木4,共北11,全回生
894,木4,共北24(CALL),全回生
895,木4,共北36,全回生
896,木4,1共03,全回生
897,木4,情報メ301(CALL),全回生
898,木4,4共32,全回生
899,木4,4共22,全回生
900,木4,共西02,２回生以上
901,木4,1共02,２回生以上
902,木4,共北33,２回生以上
903,木4,1共25(LL),２回生以上
904,木4,吉田国際交流会館南講義室3,全回生
905,木4,情報メ203・204,主として１回生
906,木4,情報メ201(遠隔講義室),全回生
907,木4,総人1104,全回生
908,木4,共北21(CALL),２回生以上
909,木4,理学研究科2号館第3講義室,２回生以上
910,木4,共北26,全回生
911,木5,共北37,全回生
912,木5,共西41,全回生
913,木5,情報メ地下講義室,全回生
914,木5,共西11,全回生
915,木5,教育院棟演習室23,全回生
916,木5,情報メ201(遠隔講義室),２回生以上
917,木5,1共32,２回生以上
918,木5,吉田国際交流会館南講義室5・6,全回生
919,木5,理学部6号館201講義室,主として１回生
920,木5,4共30,主として１回生
921,木5,共北28,主として１回生
922,木5,共北23(CALL),全回生
923,木5,教育院棟演習室21,１回生
924,木5,1共24(CALL),２回生以上
925,木5,1共33,全回生
926,木5,共北33,２回生以上
927,木5,1共01,２回生以上
